﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F273,169.6,53.7,53.7,78,33.5,58.2,30.8,96.2,69.5,91.5,106,52.2,F,34
F274,148.6,74.7,74.7,102.5,35.1,49.2,38.8,88.9,95,106.2,87.8,62.9,F,43
F275,154.9,51.3,51.3,86,32.5,53.5,30,88.9,75,88.8,91.7,50.3,F,64
F276,150.8,52.9,52.9,93,33.5,49.7,33.2,87.2,79.1,88.8,91.7,51.9,F,64
F277,161.9,49.3,49.3,83,33,52.5,30.9,93.1,65.8,91,97.5,53,F,25
F278,150.2,56.6,56.6,92.2,34,48.8,34,88.5,87.5,91.5,92.3,53,F,78
F279,155.1,52.8,52.8,85.8,33.8,48.7,31.5,90.7,73,93,95,55.6,F,51
F280,152.8,49,49,82,31,48.3,32,81.9,69,89.5,92.3,54.1,F,46
F281,163.9,60.3,60.3,89,37,54.3,33,95.1,74.3,94,99.7,55.5,F,44
F282,151.2,51.9,51.9,85.5,31.9,49.8,33,88,77.2,91.5,91.9,54,F,53
F283,162.3,55.9,55.9,84.8,33.3,53.4,31.3,91.6,75.2,94,97.8,56.5,F,27
F284,164.6,63,63,94,36.8,52.6,32.6,96.3,76.6,96.7,99.5,58.5,F,23
F285,159.7,52.7,52.7,82,33.4,52.5,30.5,-7.5,69.8,89,92.7,52.6,F,45
F286,162.9,56.4,56.4,82.8,33.6,52,31.2,95.9,67.4,95.4,99.8,58.8,F,27
F287,161.3,46.7,46.7,76.7,33.5,53.6,31.1,92.8,62.7,86,99.3,48.3,F,31
F288,153.7,58.4,58.4,96.3,33.1,48.2,33.9,91.3,82.4,93.5,91.6,53.5,F,55
F289,159,64.9,64.9,93.7,35.6,51.2,35,91.3,83,97.7,96,56.2,F,45
F290,157.3,50.6,50.6,86,33.2,49.4,31.5,91.4,75,88.9,95.7,50.1,F,57
F291,167.5,62.4,62.4,91.3,35,54.3,32.4,97.2,72.7,98.3,101.7,53.8,F,29
F292,154.8,57.5,57.5,88.3,34.8,50,33,88.6,75.8,93.4,94.5,56.4,F,32
F293,158,47.8,47.8,79.7,34.3,48.1,30.7,92.7,67.4,90,100.5,50.5,F,38
F294,163.4,58.2,58.2,89,34.4,53.7,32.2,94.1,71,95.6,99,56,F,20
F295,164.7,54.6,54.6,86.7,34.7,54.8,32,94.3,70.8,91.2,103.8,53.2,F,29
F296,160.7,47,47,81.9,31.5,52.2,31.4,93.3,64.5,86.2,97.5,48.4,F,36
F297,150.9,64.6,64.6,101.2,32.5,49.9,34,87.2,84.2,97.8,91.7,55.4,F,56
F298,160,53.4,53.4,83.4,33.2,49.1,31.8,92.4,66.5,92.5,97,54.5,F,22
F299,154.7,50,50,82.2,33.9,51.5,30,88.7,66,90.6,92.2,52.3,F,39
F300,155.6,55.9,55.9,87.6,30.4,52.1,31.4,88.3,71.9,90.9,95.5,54.5,F,37
F301,163.1,56.3,56.3,86.2,34.6,54,31.3,94.3,73.5,95.5,101.4,57.5,F,26
F302,161.9,56.7,56.7,85.8,35.5,53.5,31.2,94.8,72.5,94.1,99.9,56.1,F,45
F303,150.1,58.6,58.6,93.5,36.1,51.6,34,86.9,84.5,90.8,93,53.4,F,67
F304,159.1,52.9,52.9,85.9,33.5,54,31.5,89.2,76.8,91.4,99.5,48.9,F,67
F305,155.4,53.4,53.4,84,32.7,50,32,90.7,72.4,91.5,96.2,53.5,F,66
F306,157,51.9,51.9,81,36.4,50.8,32.4,90.5,67.9,93.4,97.2,53.8,F,20
F307,162.2,55.4,55.4,83,34.5,52.7,33.5,92.8,72.6,95.4,97.6,55.2,F,32
F308,154.7,53.2,53.2,87.4,35.2,51.4,33,87.2,77.4,90.3,94.2,53,F,62
F309,150.8,59.2,59.2,94.2,37,51.5,34.9,86.6,88.3,98.2,93.7,56.2,F,74
F310,152.2,59.2,59.2,87.9,32.9,49.2,36,88.8,80.1,93.4,91.1,53.7,F,44
F311,158.2,51.4,51.4,84.5,34.5,51,30.3,90.5,67,87.6,96.5,53.5,F,24
F312,172.6,63.5,63.5,88.7,34.7,53.5,33.4,103.4,76.5,99.4,104.6,59.6,F,43
F313,158.2,54.7,54.7,85.2,36.1,52.7,32.7,92.5,73.5,90.3,98.7,51.6,F,46
F314,151.2,71.1,71.1,103.9,33.2,46.8,36.8,89.5,93.4,101,89.4,63.6,F,51
F315,163.8,51.4,51.4,83.8,34.8,54,31.2,95.9,73.2,90.5,100.3,48.3,F,69
F316,156,55.1,55.1,88,35.5,51,33.2,89.3,73,94.7,97.1,54.6,F,26
F317,163.4,47.2,47.2,78,35.2,52,30.7,95.3,66.6,87,96,47.2,F,30
F318,163.7,55.7,55.7,88.2,33.6,55.7,34,92.3,72.3,90.5,100.7,49.8,F,55
F319,151.7,50.3,50.3,84.6,29.2,50.8,31.3,86.3,71.8,89,93,51.4,F,62
F320,160,50,50,82.1,34.5,50.5,31.2,90.2,71,89.3,95.5,50.9,F,64
F321,159,48,48,81.7,34.4,51,29,92.9,64.3,86.5,96.5,49,F,45
F322,159.3,48.3,48.3,79.8,32.5,49.6,30.3,91.6,68.8,89,96.5,53.5,F,30
F323,157,60,60,95.3,36.3,54.2,32.5,90.5,87.8,96,94.4,56.2,F,59
F324,158.3,64.3,64.3,88.1,35.1,51.5,33.8,93.3,75.4,99.9,97,58.5,F,48
F325,154.2,55,55,89.5,33.9,50,32.5,88.5,53,92.2,92.9,58.8,F,50
F326,152.9,58.3,58.3,92.5,35.2,47.5,33.6,90.8,76.5,96.9,91.7,57.7,F,46
F327,156.7,54.4,54.4,87.2,32.3,52.3,31.6,91.1,70.7,92.7,97.8,56,F,28
F328,158.5,50.9,50.9,83.2,33.1,52,31.2,92.2,69.7,88.5,94.9,50.5,F,37
F329,161.9,45.5,45.5,77.8,33.6,51.7,28.8,93.7,60.9,82.3,101.1,50.3,F,22
F330,156.3,43,43,81.2,33.8,50,30.9,90.4,62.2,84.9,95.8,46,F,21
F331,159.6,57.5,57.5,87.2,36.7,52.7,31,92.9,71.4,93.2,96.8,54.3,F,50
F332,162.3,50.3,50.3,80.1,33.8,52.5,31,93.6,65.4,91.7,104.8,52.5,F,22
F333,154.6,42.2,42.2,78,32.9,52.4,29.5,89.1,60.5,82.2,94.5,45.5,F,28
F334,155.3,56.8,56.8,92.8,33.3,51.4,33.6,90.3,79.8,92.3,99,52.8,F,64
F335,153.6,54.2,54.2,84.2,35.1,48.3,32,88.9,70.8,89.5,91.6,52.1,F,56
F336,159.3,55.3,55.3,83.6,37.2,52.5,33.1,94.8,71.8,92,97,55.4,F,49
F337,163.4,57,57,84,33.1,52,30.7,95.9,71.2,91.7,99.7,53.5,F,39
F338,153.4,52.1,52.1,87.9,34.1,49.5,32,90,79.5,89.6,92.1,53.3,F,61
F339,159.2,51,51,80.5,33.3,50.8,29.3,93.5,72.4,90.5,97.6,52,F,50
F340,160,65.9,65.9,96.7,31.8,51.7,35,93.4,87.9,98.8,98.8,57.7,F,51
F341,155.1,56.9,56.9,89.5,33,52,31.8,89.6,74.2,94,93.2,55,F,51
F342,162.5,62.8,62.8,91.9,34.6,55,33.5,91,79.2,94.6,99.6,57.6,F,33
F343,153.8,44.5,44.5,78.2,33.8,48,29.5,87.9,62.5,85.3,90.8,49.6,F,23
F344,169.7,60,60,88,35,55.8,32.3,100.8,71,94.4,103.5,56.8,F,36
F345,165.2,56.9,56.9,77.8,33.1,54.5,31.4,95.1,66,94.9,104,56,F,38
F346,163.8,65,65,93,35.6,52.5,34.6,95.2,80.2,95.3,103,59.3,F,38
F347,163.7,59.9,59.9,85.5,35,51.5,32.3,94.7,70.5,96.7,99.6,56.2,F,37
F348,166.5,58.5,58.5,86.4,33.4,52.6,32.3,94.7,69.6,92.6,105.9,53.8,F,30
F349,160.6,49.3,49.3,81.2,33.5,51,31.5,96,63.8,85.3,97.5,49.9,F,29
F350,160.1,67.7,67.7,95.5,37.2,51.8,34.4,97.1,86,95.8,95.9,56.7,F,57
F351,160.2,58.9,58.9,92.8,33.4,52.5,32.3,93.3,75,92.1,97.4,54.3,F,20
F352,161.1,61.4,61.4,91.5,33.9,54.1,33.6,93.4,88.8,95.6,98.9,54.5,F,68
F353,153.8,79.5,79.5,108.5,34.4,53,35.5,92.5,101.3,112,95.8,63.3,F,74
F354,167.8,53,53,79.8,34.1,55.5,31,97,69.2,92,106.1,53,F,28
F355,165.5,53.4,53.4,81,35.3,54,30.7,96.3,71.2,91.7,101.4,53.2,F,39
F356,164.2,55.1,55.1,81.5,35,53,30.9,96.7,67.9,89.6,101.5,56,F,29
F357,166,49.6,49.6,78.2,33.8,55.7,31.3,96.5,62.3,87.3,103,45.5,F,63
F358,163,61.5,61.5,91.2,32.9,52.5,31.5,96.7,77.5,93.7,104.8,58,F,64
F359,165,59.8,59.8,90.6,34.8,52.3,31,98.8,72.6,98.5,102.7,52.2,F,62
F360,160.8,58.5,58.5,86,32.5,52.3,33.4,94.8,75.9,93,99.1,54.7,F,48
F361,151.8,50.8,50.8,81.8,33.7,49.3,31,86.8,68.5,89.3,93.2,54.7,F,65
F362,159.1,53.4,53.4,88.3,33,51.1,30.4,91.7,66.6,88.8,97.8,56.3,F,31
F363,161.7,59.5,59.5,85.5,34.6,50.8,31.8,94.4,73.7,95.4,94.6,55.4,F,32
F364,158.7,63,63,90.9,34.6,52.8,34.6,91.5,78.4,100,99,57.8,F,39
F365,147.8,56.7,56.7,89.2,34,48.8,32.2,85.7,75.1,94.3,90.6,57.5,F,58
F366,163.7,57.2,57.2,88.1,36.4,53.6,32.2,92.9,72.8,91.2,100.7,53.6,F,30
F367,155,50.9,50.9,81.7,34.5,49.5,30.4,90,66.8,89.5,95.4,55.1,F,32
F368,165.5,55,55,84.4,34.7,53.5,33.9,97.5,65.9,92.7,102.2,52.8,F,40
F369,161.7,74.1,74.1,94.7,35.5,53.5,33.5,96.6,87,102.5,100,64.5,F,63
F370,160.9,62.7,62.7,86.8,35.4,53,34.5,95.6,71,96.8,99,58.9,F,46
F371,158.2,60.6,60.6,91.3,36.1,53.3,34.5,91.4,82.6,92.6,96.8,54,F,51
F372,153.9,55.5,55.5,88.4,34.1,51,31,88.2,80.6,92.6,92.4,57.6,F,62
F373,160.9,54.1,54.1,82.5,34.5,49.7,31.2,93.5,68.6,94.8,96.6,53.5,F,45
F374,148.3,63.2,63.2,98.4,34.5,49.1,34,84,88.4,102,90.5,58.5,F,57
F375,166.1,70.1,70.1,97,38.1,54,35,99.3,83.5,98.5,100.8,57.8,F,53
F376,155.9,59.9,59.9,93.1,32,52.4,35.3,92.7,81.8,93.2,95.9,55.6,F,61
F377,156.3,56.8,56.8,92,33.6,54.4,30.8,88.1,81.2,93.1,97.9,55.4,F,73
F378,151.1,58.5,58.5,97.5,35.2,51.8,34,86.8,78.2,93.8,93,52.2,F,66
F379,151.9,57.8,57.8,92.8,32.5,50.8,31.9,87.6,79.2,93,90,54.8,F,68
F380,150.6,50.2,50.2,88.3,32.2,47.4,31.7,89.7,74.8,87.4,90.8,49.4,F,65
F381,143.5,46.3,46.3,88.4,30.4,46.2,33.6,83.2,75.2,84.9,88.3,49.5,F,69
F382,145.9,60.9,60.9,95.2,33.5,48.4,33.2,84.1,93.9,96,86,56,F,69
F383,159.5,51.9,51.9,83.3,34.4,51.5,32,92.3,68.5,91.8,95.7,52.5,F,64
F384,160.5,64.7,64.7,93.7,34,53.6,35.4,93.2,78.6,99.1,97,59,F,63
F385,159.2,53.3,53.3,88.2,33.9,50.7,29.2,93.2,66.4,93.5,95.4,55.3,F,35
F386,149.5,57,57,98,34.7,50.1,34,84.9,84.5,88,88.3,53.5,F,61
F387,156,59.6,59.6,91.5,33.8,51.5,31.3,92.4,79,94.2,93.9,54.8,F,61
F388,158.3,51.3,51.3,85,33.5,51.2,31.4,94.4,65.9,86.6,93.3,55.7,F,34
F389,154.3,52,52,89.4,30.5,50,30.5,92,70,89.3,92,51.2,F,68
F390,157.9,58.6,58.6,101,33,50.2,32.5,92.6,85.4,87,93.2,47.7,F,46
F391,162.5,54.3,54.3,83,35.8,51.6,32,94.3,72.4,88,98.1,50.7,F,50
F392,153.7,61.5,61.5,92.7,32.3,51.5,37.6,89.8,88.3,91.5,94.2,52.7,F,74
F393,162.9,57.6,57.6,83.6,36.9,53.3,31,94.2,70.6,95.5,97,57,F,33
F394,156.5,56.5,56.5,92.8,36.4,50.5,33.9,90.7,84.2,89,94.2,52.1,F,73
F395,159.1,53.6,53.6,84.3,34.2,50.5,32.6,91.9,71.4,88.2,97.8,51.8,F,49
F396,164,64.9,64.9,94.8,33.5,53.6,36.5,95.1,80.4,96.2,101.6,57.8,F,53
F397,155.4,52.1,52.1,88.4,35.5,51.9,31.5,88.8,71,89.6,95.2,53.6,F,21
F398,163.7,49.6,49.6,79,34.4,50.8,30.3,95.1,63.8,87.4,99.5,52.5,F,36
F399,160.1,54.3,54.3,82.4,34.7,53.7,32,93.4,76,89,98.8,51.6,F,64
F400,162,53.6,53.6,86.4,34.2,54.4,30.5,93.5,71.1,90.9,98.7,53,F,36
F401,161.9,50.4,50.4,81.6,31.5,54,31,92.3,69.3,87.2,97,50.8,F,30
F402,157,48,48,79.2,32.5,54.5,29,90.2,66.5,86.7,98.5,54.6,F,34
F403,153.9,54.6,54.6,88.4,36.1,49.5,31,89.3,72.8,91.8,91.8,52.8,F,28
F404,158.2,54.5,54.5,89,33.8,51.5,30.3,92.1,68.7,94.6,95.8,57.4,F,26
F405,144.4,42.5,42.5,80.4,30.8,46.5,29.3,83.4,67,82.5,82.4,50.2,F,60
F406,167.8,59.7,59.7,86.5,33.3,55.4,32.1,97.7,75.9,90.9,101.6,55.5,F,42
F407,163.1,56.3,56.3,85.3,34.5,53.3,30.7,95.1,71,95.2,96.8,51,F,53
F408,157.3,56.1,56.1,91,36.1,50.3,31.9,91.3,76.6,94.4,93.8,53,F,66
F409,152.6,60.2,60.2,99.2,32.7,50.3,33.8,89.3,88.1,91.2,92.9,48.8,F,73
F410,156.2,50.4,50.4,82,32.8,49.6,31,91.5,68.9,88,96.9,53.2,F,36
F411,153.7,61.7,61.7,102.3,33.2,50.5,34.5,88.7,86.2,97,94.4,54.7,F,72
F412,162.5,50.3,50.3,79,32.1,52.3,30.8,96.1,65.7,91,79.3,53,F,36
F413,157.8,52,52,83.4,33.5,51,31.8,92.3,70,89.3,93,47.2,F,63
F414,153.7,50.7,50.7,83.2,32.2,50.1,29.1,87.7,67.2,88.4,93.9,55.2,F,33
F415,147.9,63.5,63.5,101.8,34.3,49,36.2,83.6,93,97,89.3,56.2,F,69
F416,167.3,58.2,58.2,87.3,34.1,54.8,32.5,96.4,77.2,94.7,104,54.2,F,21
F417,157.3,65.3,65.3,97.7,32.8,55.2,33,89.6,83,97,96.7,57.8,F,65
F418,150.5,49.7,49.7,87,33,46.6,32,85.9,74.5,91.4,94.1,52.4,F,74
F419,159.9,68.4,68.4,99.8,33.7,53,33.5,92.6,89.5,97.5,96,53,F,63
F420,148.5,48.9,48.9,82.4,31.2,48.2,30.8,87.4,68.6,88.8,88.5,51.2,F,65
F421,163.2,51.2,51.2,82.6,35.3,53.3,31.2,91.6,66,90.5,100.1,52.8,F,62
F422,153.6,54.8,54.8,96,32.9,49.5,32,89.6,79.8,89.4,92.5,51.2,F,62
F423,151.2,47.7,47.7,86.2,33.9,48.8,30,89.2,69,88.4,92.8,50.2,F,66
F424,162.7,63.2,63.2,97.8,35.1,56.5,35,94.4,87.4,94.6,100.3,55.4,F,68
F425,154.5,52,52,81,32.7,50,30.5,91.1,71,91,94.3,50.3,F,69
F426,156.8,51.5,51.5,87.2,32,52.4,32.1,90.2,72.7,87.5,99.2,51.4,F,64
F427,152.4,55.3,55.3,87.7,33.7,50,33,88.7,83.4,88.2,93.4,49.8,F,65
F428,156.4,56.5,56.5,91.4,33.7,50.5,31,90.8,78.6,93.5,98.6,54.6,F,65
F429,147.1,53.4,53.4,88.5,31.5,48.7,31,84.9,73.6,93.4,89.3,56.2,F,66
F430,148.8,60.2,60.2,93,34.3,48.5,32.1,87.9,84.4,97.2,86.2,60.3,F,66
F431,153.2,61.3,61.3,94.6,33.7,51,34,90.6,81,94.7,95.7,56.4,F,75
F432,159.5,57.2,57.2,92.5,32.9,51.5,30.2,92.8,82,93.2,100.5,54,F,67
F433,157.1,48.6,48.6,83,33.1,51.2,30.8,92.3,69,87.5,95.5,49,F,67
F434,161.6,58.7,58.7,89.9,37.3,55,34.5,95.1,77.8,99.6,99.5,55.2,F,65
F435,146.7,54.4,54.4,94,31.7,49.5,32.3,84.8,80.3,87,87.7,49.7,F,66
F436,160.5,52.5,52.5,87.7,35.4,53,30.7,91.4,64,84.8,98.2,52,F,31
F437,158.5,57.9,57.9,90.5,32.2,49.7,32.1,92.5,73.4,92,95.3,56.8,F,71
F438,147.9,45,45,85.2,33.1,49.7,30.6,85.8,76,83.3,92.1,47.2,F,67
F439,150,55.8,55.8,90.8,31.7,51.3,32,86.9,82.8,94.7,95.2,49.7,F,69
F440,159.5,55.6,55.6,87,33.1,51.6,32.6,92.6,78,93.6,101,53.9,F,63
F441,159.4,60.2,60.2,94,34.5,52.7,33.3,92.4,84.2,91.5,98.1,54.5,F,61
F442,154.2,51.9,51.9,85.6,33.4,50.3,32.7,87.9,75.8,87.1,93.5,51.4,F,62
F443,159.7,65.1,65.1,95.9,36.7,52.5,32.2,93.7,82,99,95.6,57.3,F,64
F444,149.5,54.7,54.7,89.1,33.1,48,34,85.7,82.2,91.3,90.4,52.5,F,61
F445,157.9,62.6,62.6,97,34.2,52.7,33.1,91.7,83.3,94.3,95.6,54.4,F,65
F446,149.7,41,41,79.5,33.1,48.6,30.6,86.2,65.8,82.8,92.2,48.3,F,71
F447,166.9,49.3,49.3,76.7,34.3,55,33,95.8,66,85.8,103.5,50,F,30
F448,150,55.7,55.7,90,33,48.7,33,87.4,83.2,92.3,91.1,55.8,F,67
F449,153.2,55,55,85.8,33.3,50.6,33,88.2,80.7,93.6,96.9,54,F,73
F450,147.3,67.8,67.8,103.7,33.6,51,35.4,85.7,98.1,105.8,93.5,56.8,F,70
F451,160.9,56.1,56.1,86,30.9,50.2,32.8,94.9,74.7,93.3,98.6,53.2,F,29
F452,157.9,64,64,95.4,32,51,34,90.7,79.5,99.2,95.9,54.5,F,65
F453,161,65.7,65.7,94.8,32.8,54,34.4,93,90.8,96.5,97.4,54.8,F,66
F454,151.5,66.1,66.1,100.5,33.5,50.8,36,87.8,95.7,99.1,92.5,56.1,F,69
F455,148,44.3,44.3,78.5,33.3,48.8,31.6,86.6,65.7,85.3,91.4,46.1,F,71
F456,156.2,52.1,52.1,84.7,33.5,50.6,31.2,90.9,71.5,90.2,95.2,55.5,F,39
F457,162.2,66,66,89.6,34.1,54.5,31.5,91.4,81.5,103,99.2,62.7,F,38
F458,151.6,51.7,51.7,90.8,34.4,48,34,88.5,76.7,91.2,91.9,50,F,70
F459,147.9,56.8,56.8,88,33.9,49.3,33.5,85.6,76.5,92,88.1,58.6,F,70
F460,155.9,41.8,41.8,73.6,32.5,50.5,29,89.6,52.6,84.4,96.6,46.6,F,39
F461,163.2,56,56,95,36.7,55.3,32.9,92.9,78.3,85.8,103,46.6,F,66
F462,168.6,61.1,61.1,90.5,36.9,52.5,33.8,96.2,75.2,94.4,103.5,53.5,F,62
F463,169.2,65.4,65.4,89.3,35.4,55.5,31,98.3,77.3,96.5,107.1,58.3,F,38
F464,149.2,55,55,93.6,32.2,47.2,33,85.5,81,89.1,93.5,52.8,F,66
F465,147.5,45,45,85,30.8,48.3,29.3,84.8,69.7,86.3,90.4,48.7,F,67
F466,157.6,58.9,58.9,96,32.2,53.7,33,91.2,84.9,91.2,98.5,48.3,F,69
F467,159.6,56.7,56.7,92.8,34.2,53,31.3,90.6,80.4,90.7,98.6,52.5,F,65
F468,152.3,54.4,54.4,87.8,31.6,49.2,31.6,88.1,74.3,90.8,93.9,55,F,67
F469,149.5,6,6,96.8,32.4,49.7,34.2,88.4,84.6,95.8,93.7,96.5,F,73
F470,155,64.7,64.7,99.5,34,52.2,35,88.1,92.2,101.5,94.5,54,F,72
F471,155.6,59.2,59.2,92.4,33.5,52.8,33.5,91.1,84,92.8,97,51.4,F,72
F472,155,53.1,53.1,85,33.6,49.5,30.8,89.5,74,88.9,94.4,52.6,F,61
F473,154.6,54.8,54.8,91,32.9,52.5,31,88.9,81.5,93.5,96.4,50.7,F,75
F474,159.4,65.5,65.5,93.5,32.3,53.5,33.8,90.9,84.1,97.4,98.4,57.6,F,32
F475,166.6,53.5,53.5,79.6,33.4,53.5,30.8,95.2,69,90.2,100.1,54.8,F,39
F476,154.5,60.2,60.2,95.8,32.9,50.2,32.5,90.5,84.8,93.4,94.3,50,F,75
F477,153.4,58.8,58.8,91.2,34.5,50.7,31.8,88.1,80,96.4,93.6,55.5,F,69
F478,155.8,62.5,62.5,98,32.8,54,35,90.3,88.3,94,96.8,52.2,F,69
F479,149.2,51.5,51.5,83.5,33,47.3,30.8,87.1,72.3,88.3,93,54.5,F,70
F480,164,61.5,61.5,89.8,32.6,52.7,31.8,93.3,73,95.7,101.8,56,F,35
F481,153.8,56.2,56.2,90.4,35.7,51.4,31.8,87.9,88.7,88.7,93.5,46,F,64
F482,153.2,33.5,33.5,72,33,49.5,28.3,89,59.3,75.3,94.3,34.8,F,74
F483,148.3,54.6,54.6,93.5,32.9,49,34,88.7,84,88.5,92,48.5,F,69
F484,156.8,54.6,54.6,91.8,36.3,50.2,33,89,74.3,89.7,96.3,47,F,63
F485,159.2,64.8,64.8,98.3,36.5,51.8,32.5,92.1,89.3,95.8,100.6,52.3,F,74
F486,161,53.6,53.6,87,35.3,51.9,30.8,93.9,71.8,90.2,99.8,53.8,F,31
F487,142.3,47.3,47.3,90.6,30.9,46.6,31.1,81.3,75.2,85.4,87.2,52.8,F,68
F488,160.6,56,56,86.3,34.8,52.3,30.7,92.8,67.7,94,99.2,55.2,F,40
F489,156,45.6,45.6,84,33.4,50.4,31.4,91.4,70.8,84.5,97.1,47.8,F,79
F490,154.6,56,56,92,34.7,50.3,33.8,90,80.8,90.5,94,52.5,F,66
F491,159.6,53.9,53.9,86.8,33.9,52,31.6,91.4,71.5,91.6,99.1,50.9,F,70
F492,149,48.5,48.5,81.8,32.3,52.3,30.5,85.1,75,85,90.7,52.5,F,74
F493,159.1,73.3,73.3,105.5,36.2,55,39,90.8,98.9,100.3,100.1,54.2,F,72
F494,157.7,59.7,59.7,88.3,33,52.8,32.8,89.5,78.4,93.9,95.4,57.5,F,66
F495,145.6,46.7,46.7,86.7,31.2,46.8,30.4,85.2,72,86.3,87.7,51,F,72
F496,157.4,55.6,55.6,87.5,34.4,50.5,33.7,91.1,76.3,91.8,96,53,F,74
F497,159.3,57.7,57.7,83.7,32.8,49.6,30.6,92.3,73.3,97.8,97.2,58,F,45
F498,155,57.4,57.4,91.7,33.3,51,32,88.4,80.5,91.5,95.6,51.8,F,66
F499,151.7,52.7,52.7,86.9,33.7,49.7,31,86.2,75.1,93.5,88,54.8,F,68
F500,176.9,77.6,77.6,93.6,41.6,57.3,38.2,103.4,81.5,102.2,107.2,62,M,21
F501,177.1,69.1,69.1,91.9,39.9,58.2,34.8,99.4,76.5,91.7,106.8,54.9,M,25
F502,173.1,74.5,74.5,94.7,39.4,56.8,42.1,97.8,80.8,96.9,106.2,56.6,M,53
F503,178,72,72,89.4,40.6,57.7,38.5,101.7,75.8,95.2,107.8,59.1,M,40
F504,174.6,64,64,89.5,41.2,57.7,36.6,100.6,72.8,91.4,105.9,52.2,M,27
F505,174.4,81.5,81.5,96.2,38.9,55.9,38.4,99.1,87.7,101.9,108.2,59.7,M,22
F506,170.2,86.9,86.9,101.6,40.7,56.8,41.3,101.5,94.6,103.2,105.4,63.8,M,39
F507,181.6,73.3,73.3,95.8,39.6,58.1,35.1,105,78.6,92.6,110.6,54.5,M,28
F508,177.9,78.4,78.4,92.3,38.6,58.7,39.7,100,82.1,100.4,108.6,60.9,M,26
F509,172.8,58,58,84.9,40.1,54.4,35.2,98.6,72.3,86.9,103.8,49.8,M,41
F510,172.7,78.9,78.9,98.3,40.7,54.4,39.6,99.7,89.3,99.9,104.5,60.6,M,58
F511,179.9,74.2,74.2,97.9,41.4,59.8,38.1,99.5,77.7,94.8,110.6,55.8,M,23
F512,172.8,70.6,70.6,91.7,39.4,56.8,35.9,96.4,82.7,100.1,107.6,59.4,M,39
F513,176,73,73,100.5,42.4,54.7,36.7,101.2,84.5,95,107,55.3,M,36
F514,174.6,68.7,68.7,84.1,39.4,54.1,36.6,97.1,79.7,95.8,104.6,58.1,M,31
F515,165.9,65.4,65.4,91.1,38.9,53.4,36.8,96.8,82.2,90.6,96.7,50.1,M,58
F516,177,63.2,63.2,85.1,42.7,56,33.5,98.1,70.9,93.4,107.6,54.4,M,30
F517,169.3,56.4,56.4,85.6,37.6,50.3,33.8,95.5,82.7,87.3,103.3,45.8,M,72
F518,180.3,82.1,82.1,95.6,41.6,57,39.2,100.7,83.7,102.3,110.4,60.6,M,22
F519,172.8,56.3,56.3,83,37.1,57.9,34,96.4,70.1,86.6,105.6,47,M,28
F520,161.9,70.3,70.3,91.5,38,53.3,39.8,90.5,98.3,95.2,100.2,57.3,M,80
F521,165.8,85.5,85.5,98.3,40.4,56.3,39.1,94.4,98.2,104.6,98.4,65.7,M,34
F522,168.2,62.5,62.5,91.2,39.4,56.1,38.1,94.7,82.9,90.4,100.9,54.6,M,44
F523,172,67,67,96.9,40.3,55,35.6,95.2,73.6,91.9,104.8,53.7,M,28
F524,175.2,74.9,74.9,94.5,40,56.9,36.2,99.7,84.5,97.1,105.9,58.1,M,24
F525,166.3,64,64,93.9,41.9,53.4,36.8,94.7,83.2,90.1,98.5,52.5,M,52
F526,170.8,76.9,76.9,96.1,41.9,53.5,36.7,94.6,82.6,99,97.8,93.7,M,30
F527,170.3,70.5,70.5,92,42.6,55.1,37,98.6,79.5,93.1,102.6,54.8,M,39
F528,179.2,87.3,87.3,102.4,42.6,58.4,39.5,100.2,87.6,101.8,108.8,61.5,M,37
F529,172.6,72.9,72.9,88.5,42.1,53.8,36.5,99.3,84,99.4,107.6,59.5,M,51
F530,165,73.1,73.1,94.5,43.4,54,39,90.2,84,97.5,100.2,59.2,M,22
F531,166,46.6,46.6,78.8,34.4,53,32.8,17,65.6,84,102,46,M,78
F532,166.2,53.6,53.6,85.2,38.3,54.2,34.5,90.7,71,84.7,99,48,M,53
F533,174.9,64,64,89,40.3,55.2,36.6,95.5,72.5,89.5,102.7,51,M,26
F534,172.6,77.3,77.3,99.4,41.4,56.3,39.3,96.3,86.5,98.5,106.6,57,M,28
F535,179.8,70.2,70.2,92.5,42.9,56.7,35.5,98.2,77.5,90.6,107.4,57.2,M,25
F536,171.3,70.7,70.7,91.8,38.2,54.3,38.5,93.9,94,96,102.9,54.5,M,56
F537,177.6,73.3,73.3,95.7,40.3,58.3,36.6,98.7,77.6,99,111.4,58.4,M,26
F538,170.7,70.1,23894,93,42,54.8,36.6,97.3,74.7,90.5,102.4,53.6,M,42
F539,180.9,57.3,57.3,80.6,39.5,58,34.3,100.2,68.9,85,109.5,50,M,27
F540,170,58.1,58.1,83.8,39.2,54.3,34,96.3,71.5,88,102,50.2,M,24
F541,170.3,70.9,70.9,95.6,38.6,55.6,36.5,95.5,86.2,95.5,103.9,55,M,70
F542,160.4,69.6,69.6,95.6,37.4,51.4,39.3,90.3,87.5,97.6,93.5,58.2,M,46
F543,178.6,71.2,71.2,92.5,42,56.8,35.7,97.6,83.2,93.3,109.1,52.5,M,48
F544,174.5,61,61,85.8,39.5,57.9,35.3,94.5,83.7,89.8,100.8,50,M,64
