﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F823,170.4,65.8,65.8,86.6,35.7,55.1,37,92.5,82.5,90,102.1,52,M,44
F824,187,82.8,82.8,93.7,41.5,60.3,35.7,106.6,82,98.4,112.5,60.4,M,37
F825,175.4,58.4,58.4,86.9,38,56,34.6,96.9,65.3,87.3,105.7,51.5,M,44
F826,171.6,98.5,98.5,112.4,39.7,58.3,40.5,96.6,99.7,110,103.6,66.2,M,32
F827,171.2,79.2,79.2,101.6,39.4,55.2,39.3,95,92,94.5,102.9,95.4,M,53
F828,174.8,88.2,88.2,98.7,41.8,57.6,39.5,97.8,100.5,103,101.6,60.4,M,53
F829,175.8,83.5,83.5,98.2,41.8,54.4,40.2,98.3,86.8,95,104.7,58.6,M,40
F830,170.4,64.9,64.9,90,37.4,55,37.4,94.5,79,88.5,100.2,52.6,M,53
F831,164.7,62.5,62.5,86.3,35.6,52.2,34.3,91.2,76.1,91,100.9,56.5,M,27
F832,174.8,70.4,70.4,89.7,38.2,54.6,36.7,97.6,90,91.6,102,53,M,54
F833,177.3,93.1,93.1,106.9,39.4,57.5,44,101,99.3,100,109.2,62.9,M,49
F834,175.3,64.7,64.7,87.6,33.1,55.7,34.6,99.3,79,89.1,108.5,53.2,M,22
F835,175.3,75.3,75.3,94.5,37.9,57,37,98,86,95,105.2,53.1,M,52
F836,168.7,71.6,71.6,89.7,37.8,52.4,37.4,95.9,85,95.1,100.2,55.6,M,41
F837,168.6,97.4,97.4,92.9,38,55.1,34.8,95.8,74.2,90.8,102.3,54.7,M,40
F838,163.2,75.9,75.9,102.8,37.2,52.4,39.4,93.8,96.4,96.5,100.8,55.9,M,78
F839,167,70.7,70.7,94.9,37.8,54.4,36.9,96.2,88.6,92,99.7,53.8,M,72
F840,163.1,69.3,69.3,93.5,36.7,51.2,40.6,94.8,89.8,95.2,98.6,50.4,M,75
F841,171.1,83.4,83.4,102.1,42.8,54.6,40.1,100.8,97.2,100.2,103.4,54.6,M,66
F842,172,78.7,78.7,99.1,41.8,54.2,39.8,100.4,85.8,100.1,103.6,58.3,M,46
F843,179.4,61.4,61.4,83.3,40.3,56.8,34.6,103.6,67.8,87.9,109.2,51.1,M,26
F844,163,62.2,62.2,90.6,39.4,50.9,35.8,92.5,78.5,90.4,100.4,51.1,M,59
F845,168.5,64.6,64.6,90.1,37.6,53,36.7,95,84.9,91.9,103.8,51.4,M,66
F846,169.7,58.6,58.6,84.6,38.8,53.1,35.2,97.8,77.8,87.7,101.6,50.1,M,54
F847,164.8,75.9,75.9,98.9,39.8,55.2,38.7,94.3,91.1,96.8,98.5,55.1,M,60
F848,178.1,80.2,80.2,94.7,44.3,55.2,39.4,103.3,84.2,98.9,108.6,57.8,M,34
F849,177.4,80.8,80.8,93.5,40.3,56.6,38.6,100,83.9,99.2,108,59.8,M,36
F850,173.8,89.4,89.4,99.1,38.7,56.2,40.3,102.3,96.5,102.9,104.6,61.2,M,55
F851,179.3,81.7,81.7,95.6,40.9,59.1,36.7,103.5,83.7,98.4,112.1,60.5,M,35
F852,170.7,91.1,91.1,102.3,40.8,52.5,43.4,94.5,100.9,102.2,100.9,60.8,M,58
F853,178.6,63.6,63.6,84.6,41.4,56.6,35.8,100.8,72.9,89.7,112.1,49.8,M,31
F854,174,66.3,66.3,87.6,37.9,54.6,37.6,97.1,79.8,94.1,105.7,56.8,M,26
F855,172.8,105.6,105.6,113.4,40.7,54.2,45.1,99.1,116.5,109.5,99.4,64.1,M,56
F856,167,66.1,66.1,91.5,38,55.8,34.8,96.5,83.9,90.8,101.2,50.8,M,71
F857,169.7,69.3,69.3,98.1,40.1,54.9,38.1,98.8,87.6,91.9,103.4,53.2,M,55
F858,174.5,80.9,80.9,99.8,40.3,54.6,39.7,100.4,90.6,99.4,106.5,58.2,M,51
F859,177.3,62.1,62.1,86.4,39.6,58.8,36.2,103.5,73.1,93.2,111.4,50.1,M,53
F860,169.8,70.3,70.3,93.2,38.8,52.9,38.4,99.1,86.8,94.9,102.6,52.5,M,55
F861,167.3,64.5,64.5,88.9,36.9,52.6,35.6,98.9,80.2,92.1,98.8,50.2,M,59
